feature,importance_mean,importance_std
all_rate_mean_ps,0.3275096942420271,0.08107197607712842
commercial_mixed_share,0.07908764582314434,0.05539517512258915
building_coverage_ratio,0.05215469864672657,0.04791500667479358
parking_spaces,0.009462964730868328,0.01151349388076557
artdescript_Principal Arterial,0.0035259088156542997,0.004325366984935757
artdescript_Minor Arterial,0.0032183771426945026,0.0030742169491323173
paystation_count,0.0011778216611403806,0.0030203579149658292
artdescript_Not Designated,0.0011173872387423216,0.0020372652604178586
speed_limit,0.00029660577831035483,0.0022247228385807987
artdescript_State Route/Freeway,1.701118177885134e-05,5.503102254181396e-05
artdescript_Interstate/Freeway,0.0,0.0
street_width,-0.0012343068959725849,0.009190395746409782
transport_parking_share,-0.0015609074311341065,0.0012445397594490044
one_way_Y,-0.0026121583439038107,0.019635297891578817
residential_share,-0.029793631237397266,0.01973676340042007
